id,type,description,source
EVID_00001,Mobile Phone,Malware traces,Corporate network
EVID_00002,Mobile Phone,Malware traces,Internal audit
EVID_00003,USB Device,Malware traces,Corporate network
EVID_00004,Email Logs,Forged documents,Corporate network
EVID_00005,Account Records,Suspicious email chain,Cloud provider
EVID_00006,Database Dump,Financial records,Office search
EVID_00007,Network Logs,Deleted files recovery,Personal device
EVID_00008,Hard Drive,Unauthorized access logs,Corporate network
EVID_00009,Laptop Image,Financial records,Financial institution
EVID_00010,Server Image,Suspect laptop,IT department
EVID_00011,Server Image,Malware traces,Cloud provider
EVID_00012,Cloud Storage,Financial records,Financial institution
EVID_00013,Hard Drive,Deleted files recovery,Personal device
EVID_00014,Mobile Phone,Forged documents,Corporate network
EVID_00015,Network Logs,External USB,Financial institution
EVID_00016,Hard Drive,Deleted files recovery,Internal audit
EVID_00017,Database Dump,Deleted files recovery,Financial institution
EVID_00018,Network Logs,Encrypted smartphone,Law enforcement
EVID_00019,Hard Drive,Bank transaction logs,Financial institution
EVID_00020,USB Device,Deleted files recovery,Corporate network
EVID_00021,Email Logs,Deleted files recovery,Corporate network
EVID_00022,Email Logs,Bank transaction logs,IT department
EVID_00023,Laptop Image,Financial records,Office search
EVID_00024,Network Logs,Suspicious email chain,Cloud provider
EVID_00025,Account Records,Unauthorized access logs,Corporate network
EVID_00026,Cloud Storage,Suspicious email chain,IT department
EVID_00027,Cloud Storage,Deleted files recovery,Personal device
EVID_00028,Email Logs,Financial records,Corporate network
EVID_00029,Account Records,Encrypted smartphone,IT department
EVID_00030,Hard Drive,External USB,Financial institution
EVID_00031,Cloud Storage,Forged documents,Personal device
EVID_00032,Server Image,Malware traces,Office search
EVID_00033,Account Records,Deleted files recovery,Financial institution
EVID_00034,USB Device,Encrypted smartphone,Internal audit
EVID_00035,USB Device,Encrypted smartphone,Corporate network
EVID_00036,Network Logs,Forged documents,IT department
EVID_00037,Network Logs,Unauthorized access logs,Cloud provider
EVID_00038,Email Logs,Suspect laptop,Internal audit
EVID_00039,Cloud Storage,Deleted files recovery,Internal audit
EVID_00040,Laptop Image,External USB,Internal audit
EVID_00041,Server Image,Suspect laptop,Internal audit
EVID_00042,Mobile Phone,Unauthorized access logs,Internal audit
EVID_00043,Server Image,Financial records,Law enforcement
EVID_00044,USB Device,Forged documents,Law enforcement
